anchor_gene,ptb_gene,mean_mmd_distance,std_mmd_distance,data_size,mmd_sigma
non-targeting,non-targeting,0.3678391705326495,0.006777167555187944,10688,1500
non-targeting,RPL3,0.3718741583228256,0.0061658765898575515,1984,1500
non-targeting,NCBP2,0.4720579142734819,0.023672715947504017,992,1500
non-targeting,KIF11,0.3712969847251342,0.00618624633662823,960,1500
non-targeting,SLC39A9,0.37844767836381055,0.0050827409007281705,736,1500
non-targeting,DONSON,0.41310404033650483,0.013304793193007146,736,1500
non-targeting,NUP205,0.36842062223953503,0.0053771955030501835,704,1500
non-targeting,GAB2,0.48116317638477685,0.02146731464863576,672,1500
non-targeting,BUB1,0.37151689486599476,0.006113100862096475,640,1500
non-targeting,SNX15,0.37632838111647093,0.006489402237173388,608,1500
non-targeting,CPSF3,0.4236966460214821,0.013231115942839121,608,1500
non-targeting,CHMP6,0.4123237431034666,0.021866524056400962,608,1500
non-targeting,RRM2,0.3841991144722927,0.008773451197086272,576,1500
non-targeting,MED12,0.6526513740410416,0.046135980534905106,544,1500
non-targeting,SSRP1,0.45122290768560497,0.01784790149927161,544,1500
non-targeting,BCR,0.4817603487603712,0.04807252722124612,544,1500
non-targeting,PSMD6,0.47647590117848443,0.02846312869518468,544,1500
non-targeting,PMPCB,0.43715738699034573,0.016873603379264204,544,1500
non-targeting,MED19,0.567720874616513,0.03786112263811995,544,1500
non-targeting,ORC1,0.38867607279775424,0.01003838479265864,512,1500
non-targeting,TSR2,0.49003788411601046,0.020742978555496804,512,1500
non-targeting,MED10,0.47741547624216474,0.023931559310061485,512,1500
non-targeting,SON,0.4286743609557899,0.019794356692103717,512,1500
non-targeting,NUP98,0.4169968450882436,0.02595045662251056,480,1500
non-targeting,NRDE2,0.45059807731929147,0.015126716144203183,480,1500
non-targeting,NUF2,0.38605272431014803,0.014853438997619393,480,1500
non-targeting,SF3B2,0.42278012018578165,0.03502824927751735,480,1500
non-targeting,PCF11,0.41796148075797573,0.015817009348891534,480,1500
non-targeting,ARGLU1,0.38163131300509406,0.0031801852124111927,480,1500
non-targeting,TIMM23B,0.5260109354559142,0.03448026630277493,480,1500
non-targeting,SLC1A5,0.37013317955608926,0.003111996284163395,480,1500
non-targeting,RPS12,0.44953915670388567,0.017496871788730595,480,1500
